TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|ImagePrompt|Tags
die Regierung|Уряд; правління.|/ʁeˈɡiːʁʊŋ/|Noun|die|Pl: -en|Вищий орган виконавчої влади держави. Також сам процес керування (рідше). Походить від дієслова <i>regieren</i> (правити).|1. Die <b>Regierung</b> plant neue Gesetze.<br>2. Er ist gegen die Politik der <b>Regierung</b>.<br>3. Die <b>Regierung</b> ist zurückgetreten.|1. Уряд планує нові закони.<br>2. Він проти політики уряду.<br>3. Уряд пішов у відставку.|"<b>regieren (правити) -> -ung</b><br>Від латинського <i>regere</i> (спрямовувати, керувати). Споріднене зі словами ""регіон"", ""регулювати""."|"Асоціація зі словом ""Регулювати"". Уряд регулює життя країни."|EN: government<br>DE: das Kabinett<br>RU: правительство<br>UA: влада, кабмін|minimalist flat vector icon of capitol building dome, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun A2 Politics Social
wahrscheinlich|Ймовірно; правдоподібний.|/vaːɐ̯ˈʃaɪ̯nlɪç/|Adjective|none|-|"Висока ступінь впевненості (близько 75-90%). Більше ніж <i>vielleicht</i> (можливо), але менше ніж <i>bestimmt</i> (точно). Буквально: ""схожий на правду""."|1. Es wird <b>wahrscheinlich</b> regnen.<br>2. Das ist die <b>wahrscheinlichste</b> Lösung.<br>3. <b>Wahrscheinlich</b> hat er den Bus verpasst.|1. Ймовірно, піде дощ.<br>2. Це найбільш ймовірне рішення.<br>3. Ймовірно, він пропустив автобус.|"<b>wahr (правда) -> scheinen (світити/здаватися) + -lich</b><br>""Те, що здається правдою"". Епістемічна оцінка реальності."|"З'єднайте ""Wahr"" (правда) і ""Schein"" (вигляд/сяйво). Це виглядає як правда."|EN: probably, likely<br>DE: vermutlich<br>RU: вероятно<br>UA: напевно|minimalist flat vector icon of percentage pie chart 80 percent, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adverb A2 Probability Logic
der Anschlag|Теракт/Замах; удар (клавіші); оголошення (на стіні).|/ˈanˌʃlaːk/|Noun|der|Pl: -schläge|"Дуже контекстуальне слово. У новинах — зазвичай ""терористичний акт"" або ""спроба вбивства"". У музиці/механіці — удар (напр., по клавішах піаніно). Історично — прибите оголошення (Plakat)."|1. Es gab einen <b>Anschlag</b> auf den Präsidenten.<br>2. Der <b>Anschlag</b> der Tasten ist sehr weich.<br>3. Lies den <b>Anschlag</b> am schwarzen Brett.|1. Був скоєний замах на президента.<br>2. Удар клавіш (хід клавіш) дуже м'який.<br>3. Прочитай оголошення на дошці об'яв.|"<b>an (на/до) -> schlagen (бити)</b><br>Ідея ""удару по чомусь"". Або удар зброєю (замах), або прибивання цвяхами паперу до стіни (оголошення)."|"Уявіть кілера, який ""б'є"" (schlagen) по цілі, або молоток, що прибиває папір."|EN: attack, stroke, notice<br>DE: das Attentat, der Aushang<br>RU: покушение, удар, объявление<br>UA: напад, удар, афіша|minimalist flat vector icon of explosion danger symbol, Royal Blue and Cyan color palette, white background, high quality, simple shapes|Noun B2 Crime News
das Verbrechen|Злочин (тяжкий).|/fɛɐ̯ˈbʁɛçn̩/|Noun|das|Pl: -|Тяжке кримінальне правопорушення (вбивство, грабіж). Відрізняється від <i>Vergehen</i> (проступок/легке порушення) та <i>Straftat</i> (злочин загалом, юридичний термін). Verbrechen передбачає мінімальне покарання від року тюрми.|1. Mord ist ein schweres <b>Verbrechen</b>.<br>2. Er hat ein <b>Verbrechen</b> begangen.<br>3. Das <b>Verbrechen</b> lohnt sich nicht.|1. Вбивство — це тяжкий злочин.<br>2. Він скоїв злочин.<br>3. Злочин не окупається (не вигідний).|"<b>ver- (порушення) -> brechen (ламати)</b><br>Буквально: ""зламання"" (закону, порядку). Префікс ver- вказує на негативний наслідок дії ламання."|Break the law. Ламати правила = Ver-brechen.|EN: crime, felony<br>DE: die Straftat<br>RU: преступление<br>UA: кримінал|minimalist flat vector icon of handcuffs, Emerald Green and Lime color palette, white background, high quality, simple shapes|Noun B1 Crime Law
die Tafel|Дошка; плитка (шоколаду); стіл (урочистий); благодійна організація.|/ˈtaːfl̩/|Noun|die|Pl: -n|Слово-хамелеон. У школі — <i>Schultafel</i> (дошка для писання). У магазині — <i>Tafel Schokolade</i>. У соціумі — <i>Die Tafel</i> (організація, що роздає їжу бідним). Також означає накритий стіл для бенкету.|1. Der Lehrer schreibt an die <b>Tafel</b>.<br>2. Ich esse eine ganze <b>Tafel</b> Schokolade.<br>3. Er holt Lebensmittel bei der <b>Tafel</b>.|"1. Вчитель пише на дошці.<br>2. Я їм цілу плитку шоколаду.<br>3. Він бере продукти в ""Тафелі"" (благодійній їдальні)."|"<b>tabula (дошка - лат.)</b><br>Від латинського слова, що означало плоску дошку. Значення еволюціонувало від ""дошка для письма"" до ""стільниця"" (стіл) і ""плоский шматок їжі"" (шоколад)."|Уявіть плоску прямокутну форму. Це може бути і дошка на стіні, і плитка шоколаду.|EN: board, bar (chocolate), food bank<br>DE: das Brett, der Tisch<br>RU: доска, плитка<br>UA: плитка, скрижаль|minimalist flat vector icon of rectangular chocolate bar and blackboard, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun A1 Education Food
das Abitur|Атестат зрілості (випускний іспит).|/abiˈtuːɐ/|Noun|das|Pl: -e (rare)|"Головний шкільний екзамен у Німеччині, який дає право вступу до університету. Часто скорочено <i>Abi</i>. Це не просто ""випускний"", а кваліфікаційний бар'єр для вищої освіти."|1. Nach dem <b>Abitur</b> will sie studieren.<br>2. Er hat ein gutes <b>Abitur</b> gemacht.<br>3. Wir feiern unser <b>Abitur</b>.|1. Після абітуру вона хоче навчатися (в університеті).<br>2. Він добре склав абітур.<br>3. Ми святкуємо наш випускний.|"<b>abire (йти геть - лат.)</b><br>Від новолатинського <i>abiturium</i> — те, що дозволяє піти (зі школи). Екзамен ""на вихід""."|"Схоже на ""Абітурієнт"". Це квиток ""Away"" (Ab-) зі школи в доросле життя."|EN: A-levels, high school diploma<br>DE: die Matura (Austria/Swiss)<br>RU: аттестат зрелости<br>UA: ЗНО, матура|minimalist flat vector icon of graduation scroll diploma, Emerald Green and Lime color palette, white background, high quality, simple shapes|Noun A2 Education Culture
die Speise|Страва; їжа (вишукана/формальна).|/ˈʃpaɪ̯zə/|Noun|die|Pl: -n|Більш елегантне слово, ніж <i>Essen</i>. Позначає приготовану страву, часто в контексті меню ресторану (<i>Speisekarte</i>) або урочистості. Також використовується в технічних термінах (будівельний розчин - <i>Mörtel</i>).|1. Die <b>Speisen</b> waren köstlich.<br>2. Bitte wählen Sie eine <b>Speise</b> aus.<br>3. Das ist eine traditionelle <b>Speise</b>.|1. Страви були смачними.<br>2. Будь ласка, оберіть страву.<br>3. Це традиційна страва.|"<b>spesa (витрати - лат.) -> Speise</b><br>Цікава еволюція: від лат. ""витрачати"" (пор. <i>Spesen</i>) до церковного ""роздача їжі"", і зрештою ""їжа""."|"Схоже на ""Special"". Це не просто їжа, це ""спеціальна"" страва в меню."|EN: dish, meal, food<br>DE: das Gericht<br>RU: блюдо<br>UA: харч, їство|minimalist flat vector icon of covered dinner plate cloche, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun B1 Food Formal
halten|Тримати; зупинятися; дотримуватися; вважати.|/ˈhaltn̩/|Verb|none|hält • hielt • h. gehalten|Надзвичайно багатозначне дієслово. 1. Фізично тримати в руках. 2. Зупинятися (транспорт). 3. Дотримуватися слова/обіцянки. 4. Мати думку (<i>halten für</i> - вважати когось кимось). 5. Служити довго (про одяг/батарейку).|1. Kannst du kurz meine Tasche <b>halten</b>?<br>2. Der Bus <b>hält</b> hier nicht.<br>3. Was <b>hältst</b> du von dieser Idee?|"1. Можеш потримати мою сумку?<br>2. Автобус тут не зупиняється.<br>3. Що ти думаєш про цю ідею? (Як ти її ""тримаш"" в голові?)"|"<b>Germ. *haldan (пильнувати/пасти)</b><br>Первісне значення — ""охороняти худобу"", ""утримувати контроль"". Збереглося у значенні ""тримати під контролем"" (руками або розумом)."|"Англійське ""Hold"" і ""Halt"". Воно означає і те, і інше."|EN: to hold, to stop, to think<br>DE: stoppen, meinen<br>RU: держать, останавливаться<br>UA: утримувати, вважати|minimalist flat vector icon of hand stop sign gesture, Purple and Violet color palette, white background, high quality, simple shapes|Verb A1 Action Polysemy
das Flüchtlingsheim|Гуртожиток для біженців.|/ˈflʏçtlɪŋsˌhaɪ̯m/|Noun|das|Pl: -e|Спеціалізоване житло для тимчасового розміщення осіб, які шукають притулку. Відрізняється від звичайного <i>Wohnheim</i> специфічним юридичним статусом мешканців.|1. Er wohnt in einem <b>Flüchtlingsheim</b>.<br>2. Das <b>Flüchtlingsheim</b> ist überfüllt.<br>3. Wir spenden Kleidung für das <b>Flüchtlingsheim</b>.|1. Він живе в гуртожитку для біженців.<br>2. Гуртожиток для біженців переповнений.<br>3. Ми жертвуємо одяг для гуртожитку біженців.|<b>Flüchtling (біженець) + Heim (дім/оселя)</b><br>Дім для тих, хто втік (flüchten).|Складене слово: Refugee + Home.|EN: refugee shelter<br>DE: die Unterkunft<br>RU: приют для беженцев<br>UA: притулок|minimalist flat vector icon of shelter house symbol, Emerald Green and Lime color palette, white background, high quality, simple shapes|Noun B1 Society Politics
die Unterstützung|Підтримка; допомога.|/ʊntɐˈʃtʏt͡sʊŋ/|Noun|die|Pl: -en|Матеріальна, моральна або фізична допомога. Це може бути державна виплата (соціалка), схвалення ідеї колегами або опора для конструкції. Сильніше і формальніше, ніж <i>Hilfe</i>.|1. Ich brauche deine <b>Unterstützung</b>.<br>2. Sie bekommt finanzielle <b>Unterstützung</b>.<br>3. Danke für die <b>Unterstützung</b>!|1. Мені потрібна твоя підтримка.<br>2. Вона отримує фінансову допомогу.<br>3. Дякую за підтримку!|"<b>unter (під) -> stützen (підпирати)</b><br>Буквально: ""підпирання знизу"". Образ колони, яка тримає дах, або руки, яка не дає впасти."|"Уявіть стовп (Stütze), який стоїть ""під"" (Unter) балконом і тримає його. Це і є підтримка."|EN: support, assistance<br>DE: die Hilfe<br>RU: поддержка<br>UA: сприяння, поміч|minimalist flat vector icon of two hands holding a heart, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun B1 Abstract Social
